Date,Open,High,Low,Close,Adj Close,Volume
2014-09-18,101.93,102.349998,101.559998,101.790001,93.40218399999999,37299400
2014-09-19,102.290001,102.349998,100.5,100.959999,92.640594,70902400
2014-09-22,101.800003,102.139999,100.58000200000001,101.059998,92.73234599999999,52788400
2014-09-23,100.599998,102.940002,100.540001,102.639999,94.182167,63402200
2014-09-24,102.160004,102.849998,101.199997,101.75,93.365494,60171800
2014-09-25,100.510002,100.709999,97.720001,97.870003,89.805222,100092000
2014-09-26,98.529999,100.75,98.400002,100.75,92.44787600000001,62370500
2014-09-29,98.650002,100.440002,98.629997,100.110001,91.860641,49766300
2014-09-30,100.809998,101.540001,100.529999,100.75,92.44787600000001,55264100
2014-10-01,100.589996,100.690002,98.699997,99.18,91.007271,51491300
2014-10-02,99.269997,100.220001,98.040001,99.900002,91.667946,47757800
2014-10-03,99.440002,100.209999,99.040001,99.620003,91.411026,43469600
2014-10-06,99.949997,100.650002,99.41999799999999,99.620003,91.411026,37051200
2014-10-07,99.43,100.120003,98.730003,98.75,90.61269399999999,42094200
2014-10-08,98.760002,101.110001,98.309998,100.800003,92.493782,57404700
2014-10-09,101.540001,102.379997,100.610001,101.019997,92.695656,77376500
2014-10-10,100.690002,102.029999,100.300003,100.730003,92.429558,66331600
2014-10-13,101.33000200000001,101.779999,99.809998,99.809998,91.585358,53583400
2014-10-14,100.389999,100.519997,98.57,98.75,90.61269399999999,63688600
2014-10-15,97.970001,99.150002,95.18,97.540001,89.502411,100933600
2014-10-16,95.550003,97.720001,95.410004,96.260002,88.327888,72154500
2014-10-17,97.5,99.0,96.809998,97.66999799999999,89.621696,68179700
2014-10-20,98.32,99.959999,98.220001,99.760002,91.53948199999999,77517300
2014-10-21,103.019997,103.019997,101.269997,102.470001,94.026176,94623900
2014-10-22,102.839996,104.110001,102.599998,102.989998,94.503311,68263100
2014-10-23,104.08000200000001,105.050003,103.629997,104.83000200000001,96.191689,71074700
2014-10-24,105.18,105.489998,104.529999,105.220001,96.549545,47053900
2014-10-27,104.849998,105.480003,104.699997,105.110001,96.448616,34187700
2014-10-28,105.400002,106.739998,105.349998,106.739998,97.944298,48060900
2014-10-29,106.650002,107.370003,106.360001,107.339996,98.49485,52687900
2014-10-30,106.959999,107.349998,105.900002,106.980003,98.164513,40654800
2014-10-31,108.010002,108.040001,107.209999,108.0,99.100471,44639300
2014-11-03,108.220001,110.300003,108.010002,109.400002,100.385109,52282600
2014-11-04,109.360001,109.489998,107.720001,108.599998,99.65104699999999,41574400
2014-11-05,109.099998,109.300003,108.129997,108.860001,99.889618,37435900
2014-11-06,108.599998,108.790001,107.800003,108.699997,100.17529300000001,34968500
2014-11-07,108.75,109.32,108.550003,109.010002,100.460983,33691500
2014-11-10,109.019997,109.33000200000001,108.66999799999999,108.83000200000001,100.295105,27195500
2014-11-11,108.699997,109.75,108.400002,109.699997,101.09687,27442300
2014-11-12,109.379997,111.43,109.370003,111.25,102.525322,46942400
2014-11-13,111.800003,113.449997,111.599998,112.82,103.97219799999999,59522900
2014-11-14,113.150002,114.190002,111.209999,114.18,105.22554,44063600
2014-11-17,114.269997,117.279999,113.300003,113.989998,105.05043,46746700
2014-11-18,113.940002,115.690002,113.889999,115.470001,106.414368,44224000
2014-11-19,115.440002,115.739998,113.800003,114.66999799999999,105.677094,41869200
2014-11-20,114.910004,116.860001,114.849998,116.309998,107.188477,43395500
2014-11-21,117.510002,117.57,116.029999,116.470001,107.335945,57179300
2014-11-24,116.849998,118.769997,116.620003,118.629997,109.326523,47450800
2014-11-25,119.07,119.75,117.449997,117.599998,108.37732700000001,68840400
2014-11-26,117.940002,119.099998,117.83000200000001,119.0,109.667534,40768300
2014-11-28,119.269997,119.400002,118.050003,118.93,109.603027,24814400
2014-12-01,118.809998,119.25,111.269997,115.07,106.04573799999999,83814000
2014-12-02,113.5,115.75,112.75,114.629997,105.64022800000001,59348900
2014-12-03,115.75,116.349998,115.110001,115.93,106.83828700000001,43063400
2014-12-04,115.769997,117.199997,115.290001,115.489998,106.43280800000001,42044500
