Date,Open,High,Low,Close,Adj Close,Volume
2014-09-18,83.160004,83.989998,82.970001,83.66999799999999,74.87975300000001,4199200
2014-09-19,84.41999799999999,84.660004,83.889999,84.07,75.237724,4328500
2014-09-22,83.93,84.349998,83.25,83.290001,74.53968,2112500
2014-09-23,82.809998,83.199997,82.040001,82.050003,73.429947,2805900
2014-09-24,82.209999,82.519997,81.660004,82.41999799999999,73.761055,2158900
2014-09-25,82.269997,82.510002,81.010002,81.010002,72.499184,3232300
2014-09-26,81.050003,81.809998,80.879997,81.610001,73.036163,2292000
2014-09-29,80.790001,82.029999,80.75,81.83000200000001,73.233025,3133600
2014-09-30,81.940002,82.400002,81.559998,81.620003,73.045113,3460900
2014-10-01,81.75,81.910004,80.57,80.610001,72.141212,3336100
2014-10-02,80.68,81.5,80.139999,81.129997,72.60659799999999,2721800
2014-10-03,82.08000200000001,82.660004,82.029999,82.279999,73.63578000000001,3397200
2014-10-06,82.809998,82.989998,81.82,82.220001,73.582062,1952600
2014-10-07,81.540001,81.809998,80.82,80.82,72.329155,3123900
2014-10-08,81.110001,82.940002,80.709999,82.760002,74.065331,3370700
2014-10-09,82.610001,83.099998,81.33000200000001,81.440002,72.88401,2954700
2014-10-10,81.440002,82.139999,80.339996,80.360001,71.91748,2738900
2014-10-13,80.230003,80.809998,79.410004,79.480003,71.129951,2987200
2014-10-14,79.610001,80.480003,79.540001,80.029999,71.62215400000001,2889600
2014-10-15,79.050003,80.190002,77.83000200000001,79.209999,70.888313,7118000
2014-10-16,77.849998,79.459999,77.260002,78.529999,70.279732,5980200
2014-10-17,75.989998,76.769997,75.08000200000001,76.43,68.40035999999999,9753000
2014-10-20,76.230003,76.730003,76.0,76.5,68.46300500000001,4578800
2014-10-21,77.290001,78.739998,76.690002,78.699997,70.431892,4667400
2014-10-22,78.510002,78.769997,77.800003,77.849998,69.671165,3531500
2014-10-23,78.68,78.91999799999999,78.209999,78.389999,70.154457,2306300
2014-10-24,78.650002,79.349998,78.440002,79.269997,70.942009,2289700
2014-10-27,79.25,79.68,78.860001,79.040001,70.73616,2675700
2014-10-28,79.610001,80.800003,79.550003,80.690002,72.21283000000001,2251700
2014-10-29,80.83000200000001,81.800003,80.58000200000001,81.290001,72.749794,2509500
2014-10-30,81.400002,82.360001,81.209999,81.730003,73.143547,2227400
2014-10-31,82.870003,83.07,82.43,82.769997,74.07429499999999,2666600
2014-11-03,83.0,83.32,82.510002,82.66999799999999,73.98479499999999,2061000
2014-11-04,82.769997,82.839996,81.839996,82.470001,73.805824,2199400
2014-11-05,82.690002,82.790001,81.32,81.599998,73.027214,3954700
2014-11-06,81.599998,82.309998,81.239998,82.08000200000001,73.72784399999999,2413200
2014-11-07,82.220001,83.139999,82.0,82.599998,74.194939,2065100
2014-11-10,82.599998,83.300003,82.540001,83.239998,74.769814,2207100
2014-11-11,82.230003,83.209999,81.83000200000001,82.18,73.817665,3543900
2014-11-12,81.949997,82.010002,81.260002,81.57,73.26973000000001,2408300
2014-11-13,82.010002,82.33000200000001,81.199997,81.599998,73.296669,2632200
2014-11-14,81.410004,81.959999,81.410004,81.760002,73.440392,2458300
2014-11-17,81.730003,81.730003,80.370003,81.139999,72.883499,2931000
2014-11-18,81.5,82.029999,81.25,81.290001,73.018242,2596100
2014-11-19,81.400002,81.459999,80.480003,80.639999,72.43438,2173200
2014-11-20,80.449997,81.529999,80.220001,81.089996,72.83856999999999,2968100
2014-11-21,81.75,81.910004,80.93,81.209999,72.94635799999999,2461900
2014-11-24,81.58000200000001,82.230003,81.510002,82.099998,73.745804,1767900
2014-11-25,82.099998,82.860001,81.989998,82.660004,74.248848,2393700
2014-11-26,82.910004,83.0,82.410004,82.75,74.329674,1470000
2014-11-28,82.620003,83.690002,82.589996,83.199997,74.733871,1161900
2014-12-01,82.540001,82.800003,82.16999799999999,82.309998,73.93441800000001,2161000
2014-12-02,82.139999,82.800003,81.970001,82.339996,73.96138,1964400
2014-12-03,82.050003,82.57,81.83000200000001,82.18,73.817665,2333500
2014-12-04,81.0,82.190002,81.0,82.089996,73.736816,2924000
2014-12-05,82.699997,83.260002,82.43,82.940002,74.500336,2853200
2014-12-08,83.16999799999999,83.260002,82.480003,83.199997,74.733871,3581200
2014-12-09,82.089996,83.519997,82.089996,83.269997,74.79675300000001,3188700
2014-12-10,83.279999,83.599998,82.300003,82.389999,74.006294,4792900
2014-12-11,82.58000200000001,83.110001,82.190002,82.379997,73.99730699999999,2138300
2014-12-12,81.800003,82.230003,80.150002,80.16999799999999,72.012192,3028100
2014-12-15,80.510002,80.510002,78.58000200000001,79.610001,71.509186,4607400
2014-12-16,78.870003,79.940002,77.720001,78.230003,70.269592,3887600
2014-12-17,78.41999799999999,79.620003,78.150002,79.610001,71.509186,5072400
2014-12-18,80.339996,82.16999799999999,80.33000200000001,82.160004,73.799713,4340300
2014-12-19,82.459999,82.940002,81.720001,82.43,74.042229,4057100
2014-12-22,82.400002,82.93,82.08000200000001,82.889999,74.455414,2040800
2014-12-23,83.389999,83.769997,83.209999,83.279999,74.80573299999999,1685200
2014-12-24,83.57,83.57,83.190002,83.230003,74.760841,1040600
2014-12-26,83.379997,83.779999,83.18,83.209999,74.742874,957600
2014-12-29,82.959999,83.959999,82.83000200000001,83.300003,74.823708,1601200
2014-12-30,83.089996,83.720001,82.900002,83.309998,74.83268699999999,2069000
2014-12-31,83.83000200000001,83.949997,82.529999,82.550003,74.150047,1523200
2015-01-02,82.790001,83.239998,81.730003,82.489998,74.09610699999999,1483200
2015-01-05,81.57,82.160004,80.199997,80.589996,72.38945799999999,2678200
2015-01-06,80.730003,80.769997,78.860001,79.089996,71.042084,2929500
2015-01-07,80.160004,80.459999,79.709999,79.989998,71.85051,2434100
2015-01-08,80.709999,81.389999,80.58000200000001,80.769997,72.55114,2008200
2015-01-09,80.900002,81.029999,79.360001,79.370003,71.293587,2744900
2015-01-12,79.790001,80.0,78.650002,79.059998,71.01514399999999,2381200
2015-01-13,79.75,80.040001,77.629997,78.389999,70.413338,3944700
2015-01-14,77.440002,77.440002,75.510002,76.75,68.940178,4149400
2015-01-15,76.709999,78.379997,76.639999,76.949997,69.11985,3918800
2015-01-16,76.639999,77.209999,75.550003,76.650002,68.850372,4689900
2015-01-20,76.629997,77.620003,76.440002,77.389999,69.51507600000001,3296000
2015-01-21,77.08000200000001,77.599998,76.599998,77.209999,69.35341600000001,2486600
2015-01-22,76.959999,77.160004,74.75,76.199997,68.446167,7580300
2015-01-23,76.629997,78.720001,76.629997,77.599998,69.703705,4822800
2015-01-26,77.230003,78.300003,76.5,78.190002,70.233681,4297900
2015-01-27,77.279999,77.58000200000001,76.699997,76.769997,68.95815999999999,3205600
2015-01-28,76.660004,76.839996,74.43,74.449997,66.874237,4404900
2015-01-29,74.199997,75.25,73.900002,74.959999,67.332336,4577700
2015-01-30,74.5,74.910004,73.110001,73.209999,65.76042199999999,4937800
2015-02-02,73.699997,74.519997,72.769997,74.41999799999999,66.84728199999999,3552000
2015-02-03,74.690002,75.599998,74.540001,75.510002,67.82637,2830800
2015-02-04,75.739998,76.08000200000001,75.08000200000001,75.300003,67.637772,3317900
2015-02-05,75.449997,75.959999,75.410004,75.779999,68.341187,3303500
2015-02-06,76.32,77.510002,76.07,76.220001,68.737984,3805300
2015-02-09,75.690002,77.040001,75.290001,76.720001,69.188919,2441500
2015-02-10,77.41999799999999,77.599998,76.75,77.059998,69.495522,2063000
2015-02-11,77.099998,77.58000200000001,76.900002,77.32,69.730019,1923300
2015-02-12,78.029999,79.639999,77.889999,79.290001,71.506638,3961500
2015-02-13,79.389999,79.709999,78.650002,78.879997,71.13687900000001,3216000
2015-02-17,78.790001,80.279999,78.769997,80.0,72.14694200000001,3468600
2015-02-18,79.730003,79.989998,79.269997,79.339996,71.551727,2535300
2015-02-19,79.389999,79.75,79.089996,79.41999799999999,71.623863,2190700
2015-02-20,79.199997,80.41999799999999,78.57,80.389999,72.49865,2590500
2015-02-23,80.389999,80.389999,79.379997,80.059998,72.201042,2397500
2015-02-24,79.839996,80.82,79.620003,80.5,72.59785500000001,2225300
2015-02-25,80.18,80.41999799999999,79.550003,79.660004,71.840324,3103800
2015-02-26,79.480003,79.970001,78.720001,79.150002,71.380386,2731700
2015-02-27,78.860001,79.410004,78.709999,78.709999,70.983559,3329200
2015-03-02,78.709999,79.279999,78.269997,79.150002,71.380386,3486400
2015-03-03,79.150002,79.41999799999999,78.779999,79.139999,71.371353,2257000
2015-03-04,78.949997,78.980003,78.25,78.650002,70.929443,2340500
2015-03-05,78.650002,78.970001,78.199997,78.889999,71.145889,2042100
2015-03-06,79.550003,80.709999,78.760002,78.980003,71.22706600000001,3088700
2015-03-09,78.870003,80.019997,78.620003,79.839996,72.002647,3048100
2015-03-10,79.019997,79.110001,77.699997,77.720001,70.090744,2864700
2015-03-11,78.050003,78.529999,77.720001,78.230003,70.550697,2259600
2015-03-12,79.040001,81.519997,79.040001,81.449997,73.454605,4562500
2015-03-13,81.400002,81.400002,79.269997,80.0,72.14694200000001,2770500
2015-03-16,80.639999,81.769997,80.529999,81.470001,73.47264100000001,2888900
2015-03-17,81.0,81.650002,80.66999799999999,81.5,73.49971,2201300
2015-03-18,80.970001,81.910004,80.510002,81.620003,73.60791800000001,2175900
2015-03-19,81.480003,81.589996,80.529999,80.620003,72.70607,2653800
2015-03-20,80.970001,81.449997,80.760002,81.129997,73.166,3649600
2015-03-23,81.269997,81.989998,81.18,81.25,73.27421600000001,1731500
2015-03-24,80.940002,80.959999,80.129997,80.139999,72.27317,2118100
2015-03-25,80.18,80.18,78.839996,78.839996,71.1008,1918300
2015-03-26,78.800003,78.900002,77.889999,78.510002,70.80319200000001,2291100
2015-03-27,78.470001,79.019997,78.050003,78.650002,70.929443,2636300
2015-03-30,79.190002,79.610001,79.059998,79.199997,71.425461,1962700
2015-03-31,78.58000200000001,79.190002,78.449997,78.82,71.082779,2666700
2015-04-01,78.83000200000001,80.040001,78.57,79.870003,72.029701,3607600
2015-04-02,79.639999,80.440002,79.459999,80.309998,72.426506,1968500
2015-04-06,79.43,80.839996,79.139999,80.32,72.435516,2099300
2015-04-07,79.860001,80.279999,79.66999799999999,79.66999799999999,71.84935,2301100
2015-04-08,79.660004,81.040001,79.650002,80.190002,72.318306,2564200
2015-04-09,80.040001,80.410004,79.620003,80.360001,72.471603,1856800
2015-04-10,80.230003,80.660004,80.010002,80.610001,72.697067,2233400
2015-04-13,80.610001,81.33000200000001,80.43,81.089996,73.129921,1644200
2015-04-14,81.089996,81.470001,80.769997,81.349998,73.364418,2773800
2015-04-15,81.550003,82.959999,81.360001,82.82,74.69010899999999,3696200
2015-04-16,82.620003,83.209999,82.519997,83.010002,74.86148100000001,2373400
2015-04-17,82.400002,82.620003,81.82,82.0,73.950623,2752600
2015-04-20,82.360001,82.639999,82.050003,82.190002,74.12195600000001,1699900
2015-04-21,82.5,82.610001,81.5,81.529999,73.526756,2294900
2015-04-22,81.550003,81.889999,81.040001,81.760002,73.734177,2543200
2015-04-23,81.68,82.339996,81.550003,81.860001,73.824341,2361500
2015-04-24,80.089996,81.059998,79.360001,80.440002,72.543739,3780700
2015-04-27,80.58000200000001,81.07,80.300003,80.360001,72.471603,2815700
2015-04-28,80.519997,80.91999799999999,80.059998,80.730003,72.805283,1783500
2015-04-29,80.599998,80.989998,79.839996,80.360001,72.471603,1899900
2015-04-30,80.230003,80.849998,79.82,80.849998,72.913483,4201200
2015-05-01,81.239998,81.989998,80.970001,81.93,73.887489,2840000
2015-05-04,82.0,82.43,81.809998,82.260002,74.185089,1934200
2015-05-05,82.0,83.040001,81.940002,82.269997,74.19410699999999,2760800
2015-05-06,82.739998,82.989998,82.0,82.639999,74.527771,3283900
2015-05-07,82.160004,82.32,81.400002,82.019997,74.328423,3150900
2015-05-08,82.589996,83.360001,82.160004,83.160004,75.36150400000001,2767400
2015-05-11,83.139999,83.660004,83.0,83.309998,75.497452,2109500
2015-05-12,82.889999,83.160004,82.239998,82.910004,75.134956,2438900
2015-05-13,82.980003,83.709999,82.720001,83.650002,75.805557,2172300
2015-05-14,84.120003,84.5,83.75,84.470001,76.548668,2390800
2015-05-15,84.629997,84.739998,83.589996,84.029999,76.149925,3146200
2015-05-18,84.239998,84.720001,84.0,84.559998,76.630211,1665600
2015-05-19,84.910004,85.550003,84.690002,85.410004,77.40052800000001,2615600
2015-05-20,85.25,85.68,84.91999799999999,85.349998,77.346138,2119300
2015-05-21,85.269997,85.440002,84.800003,85.110001,77.128654,2156300
2015-05-22,84.900002,85.360001,84.610001,85.019997,77.047081,1740500
2015-05-26,84.980003,84.980003,83.480003,83.949997,76.077423,2833600
2015-05-27,84.449997,85.050003,84.110001,84.629997,76.693657,2131700
2015-05-28,84.480003,84.720001,83.879997,84.300003,76.39460799999999,1847900
2015-05-29,84.379997,84.519997,83.32,83.559998,75.72399899999999,2473600
2015-06-01,83.800003,84.040001,83.129997,83.389999,75.569946,2129300
2015-06-02,83.440002,84.300003,83.269997,83.949997,76.077423,2427900
2015-06-03,84.0,84.910004,83.980003,84.300003,76.39460799999999,2221400
2015-06-04,83.550003,84.279999,83.050003,83.190002,75.388695,3164000
2015-06-05,83.889999,85.010002,83.730003,84.940002,76.974579,3965400
2015-06-08,85.08000200000001,85.370003,84.690002,84.940002,76.974579,3476700
2015-06-09,84.739998,85.720001,84.589996,85.57,77.54549399999999,2361700
2015-06-10,85.800003,86.989998,85.400002,86.93,78.777969,4359300
2015-06-11,86.989998,87.940002,86.739998,87.660004,79.439514,2939100
2015-06-12,87.470001,87.779999,87.120003,87.57,79.357964,2627500
2015-06-15,86.779999,87.589996,86.779999,87.489998,79.285461,2810100
2015-06-16,87.370003,88.120003,87.18,88.07,79.81105,2250500
2015-06-17,88.489998,88.489998,87.709999,87.839996,79.602631,2870300
2015-06-18,88.160004,88.650002,87.709999,88.519997,80.218849,2655700
2015-06-19,88.150002,88.760002,88.019997,88.41999799999999,80.128242,3614800
2015-06-22,89.0,89.5,88.959999,89.32,80.94384000000001,2140900
2015-06-23,89.93,89.989998,89.16999799999999,89.379997,80.998215,1881000
2015-06-24,89.309998,89.650002,89.07,89.089996,80.73539699999999,2153800
2015-06-25,89.480003,90.099998,88.519997,88.849998,80.51792900000001,2431700
2015-06-26,89.160004,89.32,88.790001,89.059998,80.708229,3244000
2015-06-29,87.870003,88.550003,87.660004,87.75,79.52108,3131100
2015-06-30,88.519997,88.75,87.709999,87.970001,79.720444,2827500
2015-07-01,89.010002,89.010002,88.190002,88.599998,80.291359,2728800
2015-07-02,88.720001,89.07,88.019997,88.32,80.037621,1903700
2015-07-06,87.410004,88.0,87.25,87.75,79.52108,1999400
2015-07-07,87.66999799999999,87.959999,86.349998,87.889999,79.647964,2581300
2015-07-08,87.389999,87.540001,86.120003,86.209999,78.12548100000001,2361700
2015-07-09,87.220001,87.610001,86.699997,86.730003,78.596725,2025700
2015-07-10,87.82,88.08000200000001,87.099998,87.66999799999999,79.44856300000001,1723600
2015-07-13,88.529999,89.089996,88.110001,89.029999,80.681038,2058800
2015-07-14,88.730003,89.220001,88.58000200000001,89.019997,80.671974,1783800
2015-07-15,89.739998,90.559998,89.040001,90.099998,81.650688,2211300
2015-07-16,90.650002,91.08000200000001,90.510002,90.959999,82.430061,2067300
2015-07-17,90.629997,91.019997,90.269997,90.989998,82.45723000000001,2401100
2015-07-20,91.08000200000001,91.849998,90.58000200000001,91.440002,82.865036,2377100
2015-07-21,91.41999799999999,92.059998,91.199997,91.709999,83.109734,2522000
